"사업번호","자치구","법정동","사업구분","운영구분","추진위원회/조합명","대표지번","진행단계","상태","정비구역명칭","정비구역위치","정비구역면적(㎡)","건축연면적(㎡)","용도지역","용도지구","택지면적(㎡)","도로면적(㎡)","공원면적(㎡)","녹지면적(㎡)","공공공지면적(㎡)","학교면적(㎡)","기타면적(㎡)","주용도","건폐율","용적률","높이(m)","지상층수","지하층수","건설세대총수","60미만건설세대수","60이상85이하건설세대수","85초과건설세대수","건축계획비고"
"11590-100002006","동작구","","재개발(주택정비형)","조합","흑석3재정비촉진구역 조합","흑석동 253-89","착공신고","운영","흑석3재정비 촉진구역","흑석동253-89번지 외 808필지","103497.40","168683.95","제12종 일반주거지역","","77410.30","16179.40","9549.40","","4245.90","358.30","1283.00","공동주택","23.67","244.77","572","20","5","1130","542","552","36",""
"11380-100001035","은평구","","재개발(주택정비형)","조합","응암제1구역주택재개발정비사업조합","응암동 8","착공신고","운영","응암제1구역 주택재개발정비사업구역","서울 은평구 응암동 8번지","43938.00","133165.90","제1종일반주거지역 제2종일반주거지역","일반/ 중심지 미관지구","35246.00","3621.00","3292.00","","","900.00","","공동주택 및 부대복리시설","19.20","227.49","68","23","5","745","151","483","111",""
"11680-100002028","강남구","","재건축","조합","일원대우아파트 주택재건축정비사업조합","일원동 690-1","착공신고","운영","일원대우아파트주택재건축정비사업조합","강남구 일원동 690-1","10440.40","31250.34","제2종일반주거지역","주거지역","8558.30","122.53","65.68","","","","","아파트","24.00","249.86","65","21","2","173","28","80","65","분양용과 임대용 동구분 없음"
"11320-900000625","도봉구","","재건축","조합","프린스연립 주택재건축 정비사업조합","쌍문동 503-29","착공신고","운영","프린스연립 주택재건축 정비사업","도봉구 쌍문동 503-29","2730.50","7359.61","제2종일반주거지역","최고고도지구","2735.00","0.00","0.00","0.00","0.00","0.00","0.00","공동주택","45.38","199.99","19","7","1","","81","","",""
"11680-100003002","강남구","","재건축","조합","대치동구마을1지구재건축정비사업 조합","대치동 963","착공신고","운영","대치3동 제1지구 재건축정비사업조합","서울특별시 강남구 대치동 963번지","29532.20","81619.70","제2종일반주거지역","","21442.80","2968.60","1381.70","","","","3739.10","공동주택","26.15","240.98","52","18","2","430","87","245","98",""
"11590-900000112","동작구","","재건축","조합","사당3 주택재건축 정비사업조합","사당동 41-17","착공신고","운영","사당3주택재건축정비사업구역","서울시 동작구 사당동 42번지","30647.50","81788.77","제2종일반주거지역(7층이하)","","25655.40","3273.30","1718.80","","","","","주택(아파트) 및 부대복리시설","26.83","227.72","43","15","3","522","203","307","12","소형주택 14세대포함"
"11560-900000007","영등포구","","재건축","조합","상아현대아파트 주택재건축정비사업조합","당산동5가 4-13","착공신고","운영","상아?현대아파트 주택재건축정비사업","당산동5가 4-13","29428.90","123481.65","준공업 지역","","26303.50","840.80","1587.00","0.00","697.60","0.00","0.00","공동주택 및 부대복리시설","19.86","299.99","86","29","2","802","249","499","54","소형주택(87세대)포함"
"11290-100014002","성북구","","재개발(주택정비형)","조합","길음역세권재정비촉진구역 주택재개발정비사업조합","길음동 542-1","착공신고","운영","길음역세권재정비촉진구역 주택재개발정비사업조합","성북구 길음동 542-1번지","13449.00","75303.87","준주거지역 제3종일반주거지역","중심미관지구","13449.00","1850.00","1280.00","","","","","공동주택 및 판매/교육연구","52.61","399.59","110","35","5","276","72","97","107",""
"11290-100014006","성북구","","재개발(주택정비형)","조합","길음1재정비촉진구역 주택재개발정비사업조합","길음동 508-16","착공신고","운영","길음1재정비촉진구역","성북구 길음동 508-16번지","107534.00","279514.79","제2종 일반주거지역","","70385.50","8551.00","11267.30","0.00","11237.60","0.00","5764.10","공동주택 및 근린생활시설","17.13","267.56","110500","37","6","1678","790","810","78",""
"11560-100003016","영등포구","","재개발(주택정비형)","조합","신길3재정비촉진구역 주택재개발정비사업조합","신길동 145-40","착공신고","운영","신길3재정비촉진구역주택재개발정비사업","서울시 영등포구 신길동 145-40번지","38502.90","119571.99","제2종/제3종 일반주거지역","재정비촉진지구","30779.90","247.70","4029.60","3445.70","0.00","0.00","0.00","공동주택 및 부대시설","20.64","251.11","92","32","3","644","265","351","28",""
"11290-100016000","성북구","","재개발(주택정비형)","조합","장위1구역 주택재개발정비사업조합","장위동 144-24","착공신고","운영","장위1구역 주택재개발정비사업","서울특별시 성북구 장위동 144-24","80513.30","133964.24","제2종 일반주거지역","","36018.00","15129.50","107.00","5274.80","1032.40","19464.20","749.80","공동주택(아파트)및 부대복리시설","17.87","259.52","8285","29","2","777","194","556","27",""
"11230-100003004","동대문구","","재개발(주택정비형)","조합","용두5구역 주택재개발정비사업조합","용두동 253","착공신고","운영","용두5구역 재개발정비구역","동대문구 용두동 253번지 ","37699.80","","제3종 일반주거지역","공동주택(부대복리시설공유커뮤니티시설)","30293.40","3343.40","4063.00","","","","","분양.임대아파트","21.48","270.89","","27","3","827","447","353","27","임대포함"
"11440-900000109","마포구","","재건축","조합","아현2구역 주택재건축정비사업 조합(뉴타운)","아현동 662","착공신고","운영","아현2구역주택재건축정비사업조합","서울시 마포구 아현동 662번지","65553.50","209040.24","제2종일반주거지역준주거지역","아현재정비촉진지구","50212.40","10911.50","4429.60","","","","","공동주택(아파트)","19.43","249.50","71","25","5","1267","883","376","8","분양과임대가혼재되있어서건축면적산정을할수없음"
"11215-900000639","광진구","","재건축","조합","모진연립 주택재건축정비사업조합","화양동 499-18","착공신고","운영","모진연립 주택재건축정비사업","광진구 화양동 499-18외 1필지","2159.00","6645.63","","","","","","","","","","공동주택","27.04","249.86","","14","0","","","48","",""
"11350-100002001","노원구","","재건축","조합","공릉1(태릉현대) 주택재건축정비사업조합","공릉동 230","착공신고","운영","태릉현대아파트 주택재건축정비구역","서울특별시 노원구 공릉로 34길 74","76436.50","191353.64","제2종 일반주거지역 자연녹지지역","","59218.90","4937.50","9511.80","","1907.80","","860.50","공동주택(아파트연립주택)및부대복리시설","21.42","217.94","75","25","3","","350","867","",""
"11380-100001064","은평구","","재개발(주택정비형)","조합","수색6재정비촉진구역 주택재개발 정비사업조합","수색동 115-5","착공신고","운영","수색6재정비촉진구역주택재개발정비사업조합","서울시 은평구 수색동 115-5번지 일대","66062.00","179097.07","","","43809.00","15311.00","1502.00","2579.00","","456.00","","공동주택(아파트)및 부대복리시설","22.59","267.79","84","30","3","","315","700","",""
"11650-900000486","서초구","","재건축","조합","반포우성아파트 재건축 조합","잠원동 74-1","착공신고","운영","반포우성아파트 재건축정비사업","서울시 서초구 잠원동 74-1","26607.70","95078.45","제3종 일반주거지역","아파트지구","23726.56","976.80","","1904.34","","","","아파트및부대복리시설","10.79","273.05","","35","2","514","83","143","288",""
"11590-900000481","동작구","","재건축","조합","동작1 주택재건축 조합","동작동 102-","착공신고","운영","동작1주택재건축 정비구역","서울특별시 동작구 동작동 102번지","20520.30","55351.90","자연녹지제1종일반주거지역제2종일반주거지역(7층이하)제2종일반주거지역(12층이하)","","16663.30","1680.00","2075.00","","102.00","","","공동주택","27.20","234.08","4409","15","2","","88","278","",""
"11680-900000568","강남구","","재건축","조합","대치제2지구 재건축정비사업조합","대치동 977-","착공신고","운영","대치제2지구주택재건축정비사업조합","서울시 강남구 삼성로72길 49","14593.40","52769.48","제2종일반주거지역","","12455.90","1542.50","595.00","0.00","0.00","0.00","0.00","아파트","34.89","219.99","43","15","3","243","84","129","30",""
"11215-100001001","광진구","","재건축","조합","자양아파트 주택재건축정비사업 조합","자양동 658-14","착공신고","운영","자양아파트주택재건축정비구역","서울특별시 광진구 자양동 658-14번지","6456.80","21304.31","도시지역 제3종일반주거지역","중심지미관지구","6456.80","160.80","","","","","","아파트","36.55","249.82","","20","3","","165","","",""
"11620-100003009","관악구","","재개발(주택정비형)","조합","봉천제4-1-2구역 주택재개발정비사업 조합","봉천동 101","철거신고","운영","봉천 제4-1-2구역 주택재개발정비사업조합","서울시 관악구 봉천5-9동 산101번지","55512.80","132512.30","제3종 일반주거지역","해당사항없음","33512.60","7547.30","10042.90","","","","6725.70","아파트부대복리시설","23.15","288.08","83","28","3","","388","445","",""
"11410-100003003","서대문구","","재개발(주택정비형)","조합","홍은제13구역 주택재개발정비사업조합","홍은동 11-111","철거신고","운영","홍은제13구역 주택재개발정비사업조합","홍은동 11-111번지 일대","36220.00","110158.00","제2종일반주거지역(7층)제3종일반주거지역","","36220.00","6988.00","2394.00","","367.00","","1253.00","아파트및근린생활시설","29.00","196.00","45","15","3","","273","346","",""
"11380-100001068","은평구","","재개발(주택정비형)","조합","수색13재정비촉진구역 주택재개발정비사업 조합","수색동 341-6","철거신고","운영","수색13재정비촉진구역(주택재개발사업)","수색동 341-6번지","69727.00","211065.62","2종(7층 12층)일반주거지역","항공기지구역(비행안전구역)","55397.00","6534.00","2256.00","2594.00","","","2946.00","공동주택 및 부대복리시설","21.88","231.86","65","20","4","1402","801","353","248","임대 포함"
"11380-100001045","은평구","","재개발(주택정비형)","조합","대조제1구역주택재개발정비사업조합","대조동 88","철거신고","일시중단","대조제1구역 주택재개발정비사업조합","은평구 대조동 88번지 등 ","","337874.23","일반주거지역","제2종","93664.00","11479.00","5630.00","","","","","","21.56","237.99","80","25","3","1947","702","1205","40",""
"11650-900000124","서초구","","재건축","조합","신반포3차경남 주택재건축정비사업조합","반포동 1-1","철거신고","운영","신반포3차 경남아파트 주택재건축 정비사업","서울시 서초구 반포동 1-1","146915.80","615238.55","제3종 일반주거지역","아파트지구","119247.00","16359.30","3939.10","","","","","주택","19.96","299.95","148","45","3","2706","456","1147","1103",""
"11380-100000035","은평구","","재건축","조합","역촌1구역 주택재건축정비사업조합","역촌동 189-","철거신고","운영","역촌1구역 주택재건축정비사업조합","역촌동189번지","32075.05","107358.45","제2종 일반주거지역","","27254.20","1815.30","3006.00","","","","","공동주택및부대복리","60.00","249.15","56","20","3","622","136","418","68","재건축소형주택73호 포함.(21.87%)"
"11680-100003003","강남구","","재건축","조합","개포1동주공아파트 주택재건축정비사업조합","개포동 660-4","철거신고","운영","개포1동 주공아파트 주택재건축 정비사업조합","서울시 강남구 개포1동 660번지","399741.70","229253.68","제2종","일반주거지역","3997410.07","20710.05","13530.80","11366.00","2326.00","33710.00","10525.00","","15.32","249.00","","","","","","","",""
"11740-100000048","강동구","","재건축","조합","천호2구역 주택재건축정비사업조합","천호동 437-5","철거신고","운영","천호2구역 주택재건축정비사업","강동구 천호동 437-5번지","10106.80","28203.47","제3종일반주거지역","","6614.00","3492.80","","","","","","공동주택 및 부대시설","29.19","299.52","58","20","2","162","35","106","21",""
"11380-100001059","은평구","","재개발(주택정비형)","조합","수색7재정비촉진구역 주택재개발정비사업조합","수색동 189","철거신고","운영","수색7재정비촉진구역 주택재개발정비사업조합","서울시 은평구 수색동 189","31793.60","100411.08","제2종일반주거지역(7층)","제2종일반주거지역","25362.00","5357.60","270.00","758.00","","46.00","","공동주택(아파트)","22.31","249.00","63","22","3","","180","357","",""
"11440-100003003","마포구","","재개발(도시정비형)","조합","마포로3구역제3지구 도시환경정비사업조합","아현동 613-10","관리처분인가","운영","마포로3구역 제3지구 도시환경정비구역","마포구 아현동 613-10","6217.32","40744.88","준주거지역","방화지구 중심미관지구(일부)","6217.32","847.53","","369.50","","","2117.03","공동주택/판매시설","52.52","516.35","63","20","4","","88","151","",""
"11530-900000067","구로구","","재건축","조합","개봉5구역 주택재건축정비사업조합","개봉동 68-64","관리처분인가","운영","개봉제5 주택재건축 정비사업 조합","서울시 구로구 개봉1동 68번지","13099.10","48915.90","제3종일반주거지역","일반상업지구","10175.00","2224.04","564.21","","","","135.85","공동주택및 부대복리시설","21.96","299.97","80","24","3","276","148","126","2",""
"11230-100006043","동대문구","","재개발(주택정비형)","조합","이문1재정비촉진구역 주택재개발정비사업조합","이문동 257-42","관리처분인가","운영","이문1재정비촉진구역","서울특별시 동대문구 이문동 257-42번지","144964.00","422393.41","제2종 및 제3종 일반주거지역 일반상업지역","-","118513.00","17603.00","8848.00","","","","","공동주택","23.06","234.84","75","27","6","2393","1171","1132","90",""
"11230-100006045","동대문구","","재개발(주택정비형)","조합","휘경3재정비촉진구역 주택재개발정비사업조합","휘경동 172","관리처분인가","운영","휘경3재정비촉진구역 주택재개발정비사업조합","서울시 동대문구 휘경동 172번지","65338.00","195963.42","제3종일반주거지역","","41652.00","9316.00","3195.00","6310.00","1480.00","","3385.00","공동주택 및 부대복리시설","18.45","29.96","118","35","3","1785","397","1387","1",""
"11290-100007003","성북구","","재개발(주택정비형)","조합","보문제5구역 주택재개발정비사업조합","보문동1가 196-11","관리처분인가","운영","보문제5구역 주택재개발정비사업","서울시 성북구 보문동1가 196-11번지","10798.50","65273.10","준주거지역","","","","","","","","","아파트 및 판매시설","55.62","292.67","","26","5","","","149","37",""
"11290-100009002","성북구","","재개발(주택정비형)","조합","삼선제5구역 주택재개발정비사업조합","삼선동1가 296","관리처분인가","운영","삼선제5주택재개발정비사업","서울시 성북구 삼선동2가 296번지 ","63780.50","173593.52","","","46004.10","9687.10","3348.60","","","1605.40","49139.40","공동주택및복리시설","25.38","229.47","","18","4","","721","274","",""
"11260-100003045","중랑구","","재개발(주택정비형)","조합","중화1재정비촉진구역 주택재개발정비사업 조합","중화동 331-64","관리처분인가","운영","중화1재정비촉진구역","중랑구 중화동 331-1번지","44725.50","146109.23","도시지역 제23종일반주거지역","일반미관지구","32561.30","3268.90","4556.00","3020.70","1199.50","","119.10","공동주택(아파트)및 부대복리시설","20.60","299.95","100","35","2","835","376","421","38","부분임대포함"
"11740-900000035","강동구","","재개발(도시정비형)","조합","천호1 도시환경정비사업조합","천호동 423-200","관리처분인가","운영","천호1구역 도시환경정비사업","강동구 천호동 423-200 ","38508.20","252072.18","일반상업지역 준주거지역 제3종일반주거지역","","37007.35","3187.00","183.65","","","","","공동주택 판매/업무시설 문화및 복지시설","42.17","484.19","135","","","","","106","590",""
"11410-900000107","서대문구","","재개발(도시정비형)","조합","가재울8 재정비촉진구역 재개발정비사업조합","남가좌동 289-54","관리처분인가","운영","가재울8재정비촉진구역 재개발정비사업","서대문구 남가좌동 289-54번지 일대","13180.00","58863.49","준주거지역가재울8재정비촉진구역상대정화구역","재정비촉진지구","9824.00","3356.00","0.00","0.00","0.00","0.00","0.00","","57.50","397.66","82","27","3","","120","117","",""
"11290-100011002","성북구","","재개발(주택정비형)","조합","동선제2구역 주택재개발정비사업조합","동선동4가 304-2","관리처분인가","운영","동선2구역주택재개발정비사업","동선동 304-2","15637.30","47800.56","제2종일반주거지역 / 일반상업지역","","","2189.50","709.50","","","","","아파트","20.07","232.37","","20","3","","182","145","",""
"11410-100005002","서대문구","","재개발(주택정비형)","조합","영천구역주택재개발정비사업조합","영천동 69-20","관리처분인가","운영","영천 주택재개발 정비사업","영천동 69-20번지","11154.20","55400.68","","","6744.90","3077.10","","","1322.20","","","공공주택 및 판매시설","40.56","399.31","76","23","5","","","160","39",""
"11500-100002013","강서구","","재건축","조합","등마루아파트 주택재건축정비사업 조합","염창동 275-5","관리처분인가","운영","등마루아파트재건축정비사업조합","서울특별시 강서구 염창동 275-5번지 (등마루아파트)","1903.40","0.00","일반거주","아파트 및 부대시설 근린생활시설","","40.00","0.00","0.00","0.00","0.00","0.00","0","28.07","173.76","26","9","4","","78","","","0"
"11200-100001002","성동구","","재개발(주택정비형)","조합","금호제14-1구역 주택재개발정비사업조합","금호동4가 480","관리처분인가","운영","금호제14-1구역 주택재개발정비사업조합","서울시 성동구 금호동4가 480번지","5127.20","15039.47","제2종일반주거지역 / 대공방어협조구역","","4029.40","872.20","225.60","","","","","공동주택(아파트)","24.67","233.74","","16","3","","78","30","",""
"11620-100003012","관악구","","재건축","조합","강남아파트 주택재건축정비사업 조합","신림동 1644-","관리처분인가","운영","강남아파트주택재건축정비구역","관악구 신림동 1644번지","26941.70","144773.53","준주거","","24035.70","522.40","","","","","","아파트","21.50","405.68","106","35","2","","608","136","",""
"11620-100004000","관악구","","재개발(주택정비형)","조합","신림3재정비촉진구역 주택재개발정비사업조합","신림동 316-55","관리처분인가","운영","신림3재정비촉진구역","관악구 신림동 316-55","35140.00","74358.52","제1종제2종(7층)일반주거지역자연녹지지역","","22293.00","4100.00","7447.00","","","","1300.00","공동주택 및 부대복리시설","22.34","235.75","","17","3","","224","247","",""
"11650-100002007","서초구","","재건축","조합","방배5구역주택재건축정비사업조합","방배동 946-8","관리처분인가","운영","방배5구역 주택재건축 정비사업","서울특별시 서초구 방배2동 946-8번지","176496.10","499686.29","제2종(12층 7층) 및 제1종일반주거지역","","144453.70","13427.70","10502.70","","","8112.00","","공동주택(아파트)","26.01","230.56","100","32","3","2387","400","1181","806",""
"11680-100002011","강남구","","재건축","조합","홍실아파트 주택재건축정비사업조합","삼성동 79","관리처분인가","운영","홍실아파트 주택재건축","삼성동 79","25655.80","109172.94","제2종 일반주거지역 주택재건축 정비구역(홍실아파트 주택재건축 정비구역)","","25656.00","2279.00","1200.00","","","","3479.00","공동주택(아파트)부대복리시설","17.51","249.98","76","25","4","","","","419","사업시행인가 기준"
"11680-100002026","강남구","","재건축","조합","청담삼익아파트 재건축정비사업 조합","청담동 134-18","관리처분인가","운영","청담삼익아파트주택재건축정비사업구역","서울시 강남구 청담동 134-15","61978.00","155416.92","제3종 일반주거지역","청담도곡아파트지구","51098.00","2123.00","7987.00","","770.00","","","공동주택","18.58","299.84","110","35","3","1090","130","472","488",""
"11500-100002003","강서구","","재건축","조합","등촌1구역주택재건축정비사업조합","등촌동 366-24","관리처분인가","운영","등촌1주택재건축정비구역","강서구 등촌동 366-24번지 및 강서구 등촌동 366-61번지","30772.04","72901.14","제2종일반주거지역(7층)","공항시설보호지구","27395.20","1652.70","513.00","","","","","아파트/연립주택 및 부대복리시설","27.47","180.51","35","13","2","","210","305","","아파트/ 연립주택포함"
"11500-100002000","강서구","","재건축","조합","세림연립 주택재건축정비사업 조합","등촌동 656-35","관리처분인가","운영","세림연립재건축정비사업","강서구 등촌1동 656-35 일원","3234.10","","","","","","","","","","","","","","","","","","","","",""
"11710-100002001","송파구","","재건축","조합","잠실미성?크로바아파트 주택재건축정비사업조합","신천동 17-6","관리처분인가","운영","잠실미성크로바아파트주택재건축정비사업조합","송파구 신천동 17-6","75684.50","295903.72","제3종 일반주거지역","아파트지구[잠실아파트지구개발기본계획(3주구)]","67910.00","4130.50","3644.00","","","","","공동주택(아파트)및 부대복리시설","19.29","299.70","102","35","2","1718","638","992","88",""
"11710-100002003","송파구","","재건축","조합","잠실진주아파트 주택재건축정비사업조합","신천동 20-4","관리처분인가","운영","잠실진주APT 재건축정비사업","송파구 신천동 20-4 진주APT","112558.50","447064.05","3종 일반주거지역","APT지구","10167.80","4244.70","4284.10","","","","2359.00","APT","15.26","276.70","","44","2","2390","480","1010","900",""
"11200-100001001","성동구","","재개발(주택정비형)","조합","행당제7구역 주택재개발정비사업 조합","행당동 128","관리처분인가","운영","행당제7구역주택재개발사업","성동구행당1동128번지","48345.30","121304.00","제1.2종주거지역","","33316.20","4131.00","10374.00","","","","","공동주택및 부대복리시설","20.87","249.64","","35","3","805","343","396","66","임대포함"
"11560-100004034","영등포구","","재개발(도시정비형)","조합","69. 양평제12구역 도시환경정비사업조합","양평동1가 243-1","관리처분인가","운영","양평제12구영도시환경정비사업조합","영등포구 양평동1가 265-1","37561.80","97466.66","준공업지역","","","3673.80","2389.40","","","","","","19.32","279.05","","35","2","","262","277","",""
"11740-100000049","강동구","","재건축","조합","둔촌주공아파트 주택재건축정비사업조합","둔촌동 172","관리처분인가","운영","둔촌주공아파트 주택재건축사업 정비구역","강동구 둔촌1동 170-1일대","626232.50","2216298.57","제2 3종 일반주거지역","중심미관지구 일반미관지구","462771.40","43085.10","31456.20","0.00","3101.90","71937.10","1912.30","공동주택 및 부대복리시설","18.98","273.86","113","35","4","10060","2746","3948","3366",""
"11410-100006001","서대문구","","재개발(주택정비형)","조합","연희제1구역 주택재개발정비사업조합","연희동 533","관리처분인가","운영","연희제1구역 주택재개발정비사업","서울시 서대문구 연희동 533번지","55173.00","146775.00","도시지역 제2종일반주거지역","","37722.00","9850.00","3258.00","1036.00","","","3307.00","공동주택(아파트) 및 부대복리시설","21.92","246.72","5755","20","3","1002","530","468","4","임대포함"
"11650-900000631","서초구","","재건축","조합","신반포21차아파트 주택재건축정비사업조합","잠원동 59-10","관리처분인가","운영","신반포21차아파트 주택재건축정비사업","서울시 서초구 잠원동 59-10번지 외 3필지","8785.90","49742.16","도시지역 제3종일반주거지역","아파트지구 중심미관지구","8785.90","","","","","","","공동주택","28.72","297.93","57","20","4","232","140","51","41",""
"11500-900000351","강서구","","재건축","조합","원일빌라 주택재건축정비사업조합","방화동 278-7","관리처분인가","운영","원일빌라주택재건축정비사업조합","서울 강서구 방화동 278-7번지","5597.00","19755.03","제3종 일반주거지역","일반미관지구 최고고도지구","5597.00","108.00","","","","","","공동주택","26.84","224.14","57","15","2","","114","27","",""
"11200-100002000","성동구","","재개발(주택정비형)","조합","용답동 주택재개발정비사업조합","용답동 108-1","관리처분인가","운영","용답동 주택재개발정비사업조합","서울시 성동구 용답동 108-1번지","73341.00","231651.08","제3종 일반주거지역","제3종 일반주거지역","53959.00","9173.00","17796.00","","","","","공동주택(아파트)","11.60","249.86","","35","2","","","783","250",""
"11650-900000616","서초구","","재건축","조합","신반포22차아파트 주택재건축정비사업조합","잠원동 65-33","관리처분인가","운영","신반포22차(아)주택재건축정비사업","서초구 잠원동 65-33번지","9168.80","33682.74","제3종일반주거지역","아파트지구","1077.60","232.80","481.60","363.20","","","","주택","14.65","269.80","","33","2","","","60","108",""
"11620-100004002","관악구","","재개발(주택정비형)","조합","신림2재정비촉진구역 재개발정비사업조합","신림동 324-25","관리처분인가","운영","신림2재정비촉진구역 주택재개발정비사업조합 ","관악구 신림동 324-25번지 ","55688.00","135290.93","제2종주거일반지역 자연녹지지역","재정비촉진지구","58137.84","4831.16","2415.92","8.52","","","76.81","공동주택","21.56","242.94","7955","28","","1274","772","446","56",""
"11290-100003002","성북구","","재개발(주택정비형)","조합","안암2구역 주택재개발 정비사업조합","안암동3가 132-17","관리처분인가","운영","안암제2구역주택재개발정비사업조합","성북구 안암동3가 132-17번지","11189.20","35024.90","도시지역","제2종일반주거지역","9985.90","488.30","715.00","","","","","","25.18","192.40","34","","","181","65","92","24",""
"11290-100016010","성북구","","재개발(주택정비형)","조합","장위10구역 주택재개발정비사업조합","장위동 68-37","관리처분인가","운영","장위10구역주택재개발정비사업","성북구 장위동 68-37","94245.00","286514.82","제2종일반주거지역","일반미관지구","733.69","7766.00","","10227.00","1109.00","874.00","900.00","공동주택 및 부대복리시설","19.04","264.22","94","23","3","1506","346","916","244",""
"11305-900000027","강북구","","재개발(주택정비형)","조합","미아제3구역 주택재개발정비사업조합","미아동 791-364","관리처분인가","운영","미아 제3구역 주택재개발","강북구 미아동 791-364번지 ","59465.00","149658.84","제2종 일반주거지역","미관지구","4760.74","6604.10","3000.70","0.00","891.00","0.00","","공공주택 및 부대복리시설","60.00","227.70","73","21","3","843","355","425","63","세대수"
"11440-100001010","마포구","","재건축","조합","공덕1구역 주택재건축정비사업 조합","공덕동 105-84","관리처분인가","운영","공덕1구역 주택재건축","공덕동 105-84번지","58427.00","200811.61","주거지역","제2종 일반주거지역 제3종 일반주거지역","47393.70","4041.30","3312.00","0.00","0.00","0.00","3680.00","공동주택및근린생활시설","22.47","249.99","59","20","3","1015","268","672","75",""
"11230-100006042","동대문구","","재개발(주택정비형)","조합","이문3재정비촉진구역 주택재개발정비사업조합","이문동 149-8","관리처분인가","운영","이문3(3-1)재정비촉진구역","동대문구 이문동 149-8","137372.00","688364.88","준주거지역","중심지미관지구","98555.00","16333.00","13792.00","8692.00","","","","공동주택판매및오피스텔","33.45","475.30","155","50","5","4140","2106","1312","722",""
"11740-100001049","강동구","","재건축","조합","길동신동아12차아파트 주택재건축정비사업조합","길동 160","관리처분인가","운영","길동신동아12차아파트주택재건축정비사업","서울시 강동구 길동 160번지 외 6필지 ","46267.70","173368.27","제3종일반주거지역","도시지역","39246.10","2410.10","4611.50","","","","","공동주택","17.62","290.95","9640","33","3","","828","359","",""
"11290-100016009","성북구","","재개발(주택정비형)","조합","장위 4구역 주택재개발정비사업조합","장위동 289","관리처분인가","운영","장위4구역 주택재개발정비사업조합","서울시 성북구 장위동 62-1번지","153501.00","428982.00","제2종일반주거지역","일반미관지구","105997.00","29254.00","5021.00","5500.00","2251.00","0.00","2399.00","공동주택","23.15","263.36","","32","3","2356","825","1438","93",""
"11290-100016014","성북구","","재개발(주택정비형)","조합","장위제6구역 주택재개발정비사업조합","장위동 25-55","관리처분인가","운영","장위제6구역주택재개발정비사업조합설립추진위원회","서울시 성북구 장위동 25-55","105163.90","250368.90","도시. 주거지역","제1.2.3종 일반주거지역","61422.60","16629.30","22782.00","2565.30","1764.70","","","공동주택(아파트) 및 복리시설","19.28","264.48","93","33","3","1352","473","818","61",""
"11650-900000572","서초구","","재건축","조합","방배14구역 주택재건축정비사업조합","방배동 975-35","관리처분인가","운영","방배 14구역주택재건축 정비구역","서울 특별시 서초구 방배동 975-35","27460.00","69106.81","제 1종 일반 주거지역 제 2종 일반 주거지역(7층)","일반 미관 지구","27460.00","2969.00","2068.00","","","","","공동주택 및 부대복리시설","43.45","205.85","40","12","2","435","202","152","81",""
"11650-100002002","서초구","","재건축","조합","방배6구역 주택재건축 정비사업 조합","방배동 818-14","관리처분인가","운영","방배6구역주택재건축정비사업조합","서울시 서초구 방배4동 818-14번지 ","63197.90","191870.24","제2종일반주거","","49736.90","8041.50","4429.40","","990.10","","","공동주택","23.02","246.24","62","21","3","1111","369","590","152",""
"11680-100002009","강남구","","재건축","조합","개포주공4단지아파트 재건축정비사업 조합","개포동 189","관리처분인가","운영","개포택지 개발지구 주공4단지 정비구역","서울특별시 강남구 개포동 189번지","179794.90","621544.64","2종 일반주거지역","개포택지개발지구","142376.90","4219.50","10807.80","2861.90","1500.20","14328.50","3700.10","공동주택","18.78","249.99","100","34","4","3055","790","1737","528",""
"11530-900000129","구로구","","재건축","조합","길훈아파트 주택재건축정비사업조합","개봉동 312-38","관리처분인가","운영","길훈아파트 주택재건축정비사업","개봉동 312-38외 1필지","9973.60","34220.79","제2종일반주거지역(7층이하)","","8897.90","760.80","314.90","0.00","0.00","0.00","0.00","공동주택","32.51","249.95","44","15","3","","275","13","",""
"11710-900000431","송파구","","재건축","조합","문정동 136번지일대 주택재건축정비사업조합","문정동 136-","관리처분인가","운영","문정동 136일대 재건축 정비구역","서울특별시 송파구 문정동 136번지","64974.90","167714.05","2종일반주거지역","","46623.60","8180.30","5092.50","","","","5078.50","공동주택","30.00","246.65","55","18","","","841","561","",""
"11650-900000606","서초구","","재건축","조합","방배13구역 주택재건축정비사업조합","방배동 541-2","관리처분인가","운영","방배13구역 주택재건축정비사업","서울 서초구 효령로 14다길 6","129850.00","312498.34","제1종일반주거지역 제2종일반주거지역(7층이하) 제2종일반주거지역","일반미관지구","96735.10","11014.50","20021.00","","","","2079.40","공동주택등","37.53","226.77","","16","3","2357","1528","711","118","임대 186포함"
"11740-900000643","강동구","","재건축","조합","둔촌동 삼익빌라 주택재건축정비사업조합","둔촌동 85-2","관리처분인가","운영","둔촌동 삼익빌라 주택재건축정비사업","강동구 둔촌동 85-2","9808.80","34097.59","제2종일반주거지역","지구단위계획구역(10층이하)","98080.80","0.00","","","","","","공동주택","31.94","197.75","31","10","2","195","119","64","12",""
"11740-900000149","강동구","","재개발(도시정비형)","조합","천호4촉진구역 도시환경정비사업 조합","천호동 410-100","관리처분인가","운영","천호4촉진구역","강동구 천호동 410-100번지 일원","17281.00","154455.12","일반상업지역","","","","","","","","","공동주택/판매시설/업무시설","60.00","798.00","107","33","5","","","499","",""
