"사업번호","자치구","법정동","사업구분","운영구분","추진위원회/조합명","대표지번","진행단계","상태","정비구역명칭","정비구역위치","정비구역면적(㎡)","건축연면적(㎡)","용도지역","용도지구","택지면적(㎡)","도로면적(㎡)","공원면적(㎡)","녹지면적(㎡)","공공공지면적(㎡)","학교면적(㎡)","기타면적(㎡)","주용도","건폐율","용적률","높이(m)","지상층수","지하층수","건설세대총수","60미만건설세대수","60이상85이하건설세대수","85초과건설세대수","건축계획비고"
"11170-100005004","용산구","","재건축","추진위원회","후암동제1구역 주택재건축정비사업 조합설립추진위원회","후암동 142-4","조합설립추진위원회승인","운영","후암동제1구역주택재건축정비사업조합설립추진위원회","용산구 두텁바위로 1나길 22(후암동)","100000.00","190337.67","용산구 후암1구역","일반주거지역","105555.30","15501.60","10263.80","","3137.60","","","일반주거","21.74","170.46","12","","","","675","112","","0"
"11590-900000614","동작구","","재개발(도시정비형)","추진위원회","신대방역세권 재개발정비사업조합설립추진위원회","신대방동 600-14","조합설립추진위원회승인","운영","신대방역세권 도시정비형 재개발정비사업","동작구 신대방동 600-14","587.47","222935.61","준주거지역 3종일반주거지역","","44480.00","6253.00","3110.00","","12940.00","","493.00","공동주택/판매시설/근린생활시설","30.62","333.97","100","30","6","1024","550","394","80","2015년 정비도서 기준으로 실 사업 시 변경될 수 있음"
"11230-100007000","동대문구","","재개발(주택정비형)","추진위원회","전농8구역주택재개발정비사업조합설립추진위원회","전농동 204","조합설립추진위원회승인","운영","전농8구역추진위원회","동대문구 전농동 204번지","93697.00","252765.04","전농답십리뉴타운 개발구역","","72260.00","13764.00","6268.00","0.00","1405.00","0.00","0.00","주택재개발사업","20.18","229.98","70","20","2","1515","262","959","294","임대주택포함"
"11230-900000092","동대문구","","재개발(주택정비형)","추진위원회","전농12구역 주택재개발정비사업 조합설립추진위원회","전농동 643","조합설립추진위원회승인","운영","전농12주택재개발정비구역","동대문구 전농동 643번지","16237.00","53075.09","제3종일반주거지역","","13791.70","834.10","815.00","","","","796.20","공동주택","50.00","2.40","","","30","246","53","143","50",""
"11290-900000748","성북구","","가로주택정비","추진위원회","가칭)장위11-8구역 가로주택정비사업 준비위원회","장위동 68-274","조합설립추진위원회승인","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11305-100004000","강북구","","재개발(도시정비형)","추진위원회","강북3구역 도시환경정비사업 조합설립추진위원회","미아동 45-32","조합설립추진위원회승인","일시중단","강북3 도시환경정비구역","서울시 강북구 미아동 45-32번지","23995.00","","준주거지역","","18331.00","4013.00","","","1651.00","","","판매업무주거","60.00","","100","","","","","","",""
"11305-900000030","강북구","","재건축","추진위원회","수유제1-1구역 주택재건축정비사업 조합설립추진위원회","수유동 472-81","조합설립추진위원회승인","일시중단","수유1-1구역주택재건축 조합설립추진위원회","강북구 수유동472-81번지일대","70000.00","","","","","","","","","","","","","","","","","","","","",""
"11230-100003008","동대문구","","재개발(주택정비형)","추진위원회","신설제1구역 주택재개발정비사업조합설립추진위원회","신설동 92-5","조합설립추진위원회승인","일시중단","신설제1구역주택재개발정비사업조합설립추진위원회","서울 동대문구 신설동 92-5 일대","11204.15","47906.84","","","","","","","","","","","","","","","","","","","",""
"11740-900000739","강동구","","재건축","추진위원회","삼익그린2차 주택재건축정비사업 조합설립추진위원회","명일동 15","조합설립추진위원회승인","운영","삼익그린2차아파트 주택재건축정비사업구역","강동구 명일동 15번지","126870.00","","제3종일반주거지역","아파트지구(정비구역)","","","","","","","","","","","","","","","","","",""
"11305-100005001","강북구","","재개발(주택정비형)","추진위원회","미아제11구역 주택재개발정비사업조합설립추진위원회","미아동 791-108","조합설립추진위원회승인","운영","","","","","","","","","","","","","","","","","","","","","","","",""
"11560-100003001","영등포구","","재건축","추진위원회","목화아파트 주택재건축정비사업조합설립추진위원회","여의도동 30","조합설립추진위원회승인","운영","목화아파트 주택재건축정비사업조합설립추진위원회","서울시 영등포구 여의도동 30번지","","","","","","","","","","","","","","","","","","","","","",""
"11215-100002002","광진구","","재건축","추진위원회","자양제7구역 주택재건축정비사업조합설립추진위원회","자양동 464-40","조합설립추진위원회승인","운영","자양7구역 주택재건축정비사업","자양동 464-40번지","44658.50","133404.18","제2종 및 제3종 일반주거지역","대상지내 지정된 용도지구 없음","33959.40","5610.10","3000.00","0.00","0.00","0.00","2089.00","공동주택 및 부대복리시설","22.10","246.64","75","25","2","874","470","350","54","사업진행과정 중 변경될 수 있음"
"11560-900000757","영등포구","","재건축","추진위원회","삼부아파트 주택재건축정비사업조합설립추진위원회","여의도동 30-2","조합설립추진위원회승인","운영","","","","","","","","","","","","","","","","","","","","","","","",""
